,Month,Tesla Monthly Revenue (Millions),IXIC,CL,Vehicle Sales,Household Income,Family Income,Capita Income
0,30/4/2009,8.981666667,1641.147618,49.94952356,822746,63573,77322,33430
1,31/5/2009,8.981666667,1726.077496,59.2125,919295,63573,77322,33430
2,30/6/2009,8.981666667,1826.988198,69.69545538,850654,63573,77322,33430
3,31/7/2009,15.17566667,1873.837735,64.29318237,991950,63573,77322,33430
4,31/8/2009,15.17566667,1997.155244,71.1385716,1254982,63573,77322,33430
5,30/9/2009,15.17566667,2084.747128,69.46809533,740394,63573,77322,33430
6,31/10/2009,13.15666667,2122.849559,75.82363649,832953,63573,77322,33430
7,30/11/2009,13.15666667,2143.532507,78.14500008,741826,63573,77322,33430
8,31/12/2009,13.15666667,2220.599998,74.60318271,1013629,63573,77322,33430
9,31/1/2010,6.937333333,2267.774722,78.40263166,693531,62323,75477,32452
10,28/2/2010,6.937333333,2194.440006,76.4526319,774108,62323,75477,32452
11,31/3/2010,6.937333333,2362.243896,81.28999992,1059134,62323,75477,32452
12,30/4/2010,9.468333333,2475.720017,84.57523746,976345,62323,75477,32452
13,31/5/2010,9.468333333,2319.239001,74.11750145,1096910,62323,75477,32452
14,30/6/2010,9.468333333,2235.229537,75.40454587,978154,62323,75477,32452
15,31/7/2010,10.41366667,2210.27381,76.38285755,1045915,62323,75477,32452
16,31/8/2010,10.41366667,2205.28135,76.66681706,993211,62323,75477,32452
17,30/9/2010,10.41366667,2298.346226,75.54857091,953837,62323,75477,32452
18,31/10/2010,12.09533333,2441.295689,81.97476233,940740,62323,75477,32452
19,30/11/2010,12.09533333,2530.989548,84.31476157,863198,62323,75477,32452
20,31/12/2010,12.09533333,2631.560447,89.23318169,1135333,62323,75477,32452
21,31/1/2011,16.34333333,2717.208521,89.57850037,815408,60969,74192,32243
22,28/2/2011,16.34333333,2783.535786,89.74315764,987265,60969,74192,32243
23,31/3/2011,16.34333333,2722.289137,102.9813047,1238252,60969,74192,32243
24,30/4/2011,19.39033333,2797.071973,110.0385006,1149240,60969,74192,32243
25,31/5/2011,19.39033333,2815.075718,101.3566666,1052417,60969,74192,32243
26,30/6/2011,19.39033333,2687.762718,96.28863664,1044037,60969,74192,32243
27,31/7/2011,19.222,2810.5755,97.34049988,1055231,60969,74192,32243
28,31/8/2011,19.222,2504.623036,86.34086974,1067895,60969,74192,32243
29,30/9/2011,19.222,2524.136196,85.60999916,1048158,60969,74192,32243
30,31/10/2011,13.125,2594.781901,86.42809514,1015016,60969,74192,32243
31,30/11/2011,13.125,2606.289039,97.16285706,986664,60969,74192,32243
32,31/12/2011,13.125,2601.66998,98.57571338,1236129,60969,74192,32243
33,31/1/2012,10.05566667,2743.795007,100.318499,909806,60732,73920,32297
34,29/2/2012,10.05566667,2928.980493,102.2624996,2115420,60732,73920,32297
35,31/3/2012,10.05566667,3035.915916,106.2049994,1398128,60732,73920,32297
36,30/4/2012,8.884333333,3035.101514,103.3460003,1177478,60732,73920,32297
37,31/5/2012,8.884333333,2900.409113,94.71590978,1327521,60732,73920,32297
38,30/6/2012,8.884333333,2850.35383,82.4052382,1276629,60732,73920,32297
39,31/7/2012,16.70133333,2920.112398,87.93142882,1141761,60732,73920,32297
40,31/8/2012,16.70133333,3032.666493,94.1608701,1274193,60732,73920,32297
41,30/9/2012,16.70133333,3136.802644,94.55842189,1183825,60732,73920,32297
42,31/10/2012,102.1106667,3060.261916,89.94809541,1085804,60732,73920,32297
43,30/11/2012,102.1106667,2941.014765,86.73238009,1137862,60732,73920,32297
44,31/12/2012,102.1106667,3003.792004,88.24550018,1347837,60732,73920,32297
45,31/1/2013,187.264,3125.913318,94.82857077,1037967,60869,74593,32833
46,28/2/2013,187.264,3169.213148,95.32157898,1185746,60869,74593,32833
47,31/3/2013,187.264,3236.167041,92.95699921,1444773,60869,74593,32833
48,30/4/2013,135.0463333,3251.351829,92.06772752,1276318,60869,74593,32833
49,31/5/2013,135.0463333,3440.375444,94.79954598,1434096,60869,74593,32833
50,30/6/2013,135.0463333,3416.741492,95.80049934,1396038,60869,74593,32833
51,31/7/2013,143.782,3559.710904,104.6986365,1306885,60869,74593,32833
52,31/8/2013,143.782,3639.928678,106.5390913,1494273,60869,74593,32833
53,30/9/2013,143.782,3731.262,106.2354996,1128124,60869,74593,32833
54,31/10/2013,205.073,3848.202626,100.552608,1198989,60869,74593,32833
55,30/11/2013,205.073,3957.533008,93.93149986,1236413,60869,74593,32833
56,31/12/2013,205.073,4075.885707,97.89428602,1350623,60869,74593,32833
57,31/1/2014,206.8473333,4154.361863,94.85666729,1006049,61468,75505,33094
58,28/2/2014,206.8473333,4199.451056,100.6752625,1186038,61468,75505,33094
59,31/3/2014,206.8473333,4276.359096,100.5090474,1529348,61468,75505,33094
60,30/4/2014,256.4496667,4119.306199,102.0347621,1381300,61468,75505,33094
61,31/5/2014,256.4496667,4135.374302,101.7947617,1598730,61468,75505,33094
62,30/6/2014,256.4496667,4332.737653,105.1466675,1412565,61468,75505,33094
63,31/7/2014,283.9346667,4434.125954,102.3918176,1427029,61468,75505,33094
64,31/8/2014,283.9346667,4464.83145,96.0761904,1575971,61468,75505,33094
65,30/9/2014,283.9346667,4551.585728,93.03428541,1239405,61468,75505,33094
66,31/10/2014,318.887,4403.230469,84.33912924,1275657,61468,75505,33094
67,30/11/2014,318.887,4687.702688,75.81000077,1291817,61468,75505,33094
68,31/12/2014,318.887,4732.700928,59.28954489,1500108,61468,75505,33094
69,31/1/2015,313.2933333,4673.701489,47.32550011,1149107,63784,78061,34284
70,28/2/2015,313.2933333,4854.255834,50.72473646,1254709,63784,78061,34284
71,31/3/2015,313.2933333,4938.010454,47.8540906,1540724,63784,78061,34284
72,30/4/2015,318.3253333,4985.951428,54.62809554,1449812,63784,78061,34284
73,31/5/2015,318.3253333,5029.43147,59.37199993,1629328,63784,78061,34284
74,30/6/2015,318.3253333,5073.041837,59.82863652,1471074,63784,78061,34284
75,31/7/2015,312.263,5082.80997,50.93000013,1507307,63784,78061,34284
76,31/8/2015,312.263,4934.622861,42.88904771,1568896,63784,78061,34284
77,30/9/2015,312.263,4748.004325,45.4652383,1435728,63784,78061,34284
78,31/10/2015,404.7933333,4879.036821,46.28954541,1449359,63784,78061,34284
79,30/11/2015,404.7933333,5082.508032,42.92300014,1313000,63784,78061,34284
80,31/12/2015,404.7933333,5040.540039,37.32727259,1635926,63784,78061,34284
81,31/1/2016,382.3493333,4610.714253,31.77578946,1147705,65052,80231,35145
82,29/2/2016,382.3493333,4463.20603,30.6165,1340801,65052,80231,35145
83,31/3/2016,382.3493333,4754.479115,37.96090906,1590701,65052,80231,35145
84,30/4/2016,423.339,4892.168108,41.12476185,1501379,65052,80231,35145
85,31/5/2016,423.339,4788.235235,46.79666664,1520463,65052,80231,35145
86,30/6/2016,423.339,4856.232688,48.85318167,1508662,65052,80231,35145
87,31/7/2016,766.1453333,5023.988965,44.7994997,1517151,65052,80231,35145
88,31/8/2016,766.1453333,5217.038319,44.79913081,1508095,65052,80231,35145
89,30/9/2016,766.1453333,5254.154297,45.22571437,1428354,65052,80231,35145
90,31/10/2016,761.5436667,5255.98956,49.86949997,1368064,65052,80231,35145
91,30/11/2016,761.5436667,5260.565244,45.88199978,1375086,65052,80231,35145
92,31/12/2016,761.5436667,5413.116653,52.16571499,1694258,65052,80231,35145
93,31/1/2017,898.7566667,5561.423486,52.60849972,1140841,66687,81669,35807
94,28/2/2017,898.7566667,5764.702097,53.4621056,1331716,66687,81669,35807
95,31/3/2017,898.7566667,5864.964334,49.67391321,1553142,66687,81669,35807
96,30/4/2017,929.8523333,5912.169485,51.117369,1424793,66687,81669,35807
97,31/5/2017,929.8523333,6124.878174,48.53954575,1517197,66687,81669,35807
98,30/6/2017,929.8523333,6224.285889,45.1959095,1472495,66687,81669,35807
99,31/7/2017,994.8916667,6294.674023,46.67500038,1415051,66687,81669,35807
100,31/8/2017,994.8916667,6311.397397,48.05782567,1480526,66687,81669,35807
101,30/9/2017,994.8916667,6428.078979,49.87699986,1523050,66687,81669,35807
102,31/10/2017,1096.166333,6603.011341,51.59454588,1353586,66687,81669,35807
103,30/11/2017,1096.166333,6796.045224,56.66285742,1397105,66687,81669,35807
104,31/12/2017,1096.166333,6889.740454,57.94699993,1603063,66687,81669,35807
105,31/1/2018,1136.250333,7279.498047,63.65904781,1156581,66828,82434,36503
106,28/2/2018,1136.250333,7161.772641,62.1836843,1305932,66828,82434,36503
107,31/3/2018,1136.250333,7311.506696,62.7719049,1657716,66828,82434,36503
108,30/4/2018,1334.077,7084.142346,66.32523782,1364619,66828,82434,36503
109,31/5/2018,1334.077,7339.327282,69.983181,1576158,66828,82434,36503
110,30/6/2018,1334.077,7645.138532,67.32285672,1549950,66828,82434,36503
111,31/7/2018,2274.666667,7756.863863,70.58190518,1373655,66828,82434,36503
112,31/8/2018,2274.666667,7892.233462,67.84521783,1500121,66828,82434,36503
113,30/9/2018,2274.666667,7983.307412,70.08473728,1440820,66828,82434,36503
114,31/10/2018,2408.673,7527.083899,70.7578261,1393137,66828,82434,36503
115,30/11/2018,2408.673,7236.08145,56.69333285,1399187,66828,82434,36503
116,31/12/2018,2408.673,6814.291607,48.77736925,1605973,66828,82434,36503
117,31/1/2019,1513.666667,6979.655715,51.55047626,1172653,69638,85780,37803
118,28/2/2019,1513.666667,7430.077354,54.98052597,1257589,69638,85780,37803
119,31/3/2019,1513.666667,7629.366653,58.16809518,1552126,69638,85780,37803
120,30/4/2019,2116.666667,7994.920922,63.87095261,1355548,69638,85780,37803
121,31/5/2019,2116.666667,7804.820867,60.86545441,1606260,69638,85780,37803
122,30/6/2019,2116.666667,7825.459009,54.70650024,1462664,69638,85780,37803
123,31/7/2019,2101,8205.598677,57.54636383,1417418,69638,85780,37803
124,31/8/2019,2101,7910.933239,54.84409055,1628577,69638,85780,37803
125,30/9/2019,2101,8087.699976,56.96700001,1282712,69638,85780,37803
126,31/10/2019,2461.333333,8079.278299,54.00565255,1384010,69638,85780,37803
127,30/11/2019,2461.333333,8517.577441,57.07000008,1445173,69638,85780,37803
128,31/12/2019,2461.333333,8778.591936,59.80476198,1459164,69638,85780,37803
